epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.4228,2.45815,2.58058,2.2602,0.35671,0.3665,0.28972,0.09236,2.33995,2.27751,2.17604,0.000654321,0.000654321,0.000654321
2,176.297,1.7601,1.53471,1.54955,0.32354,0.53166,0.32121,0.09123,2.44906,3.20745,2.49885,0.00130791,0.00130791,0.00130791
3,257.175,1.66079,1.28048,1.42925,0.62882,0.70976,0.71277,0.35545,1.72906,1.48772,1.45048,0.0019483,0.0019483,0.0019483
4,337.914,1.55519,1.09588,1.34577,0.84238,0.85488,0.908,0.4851,1.66548,1.06809,1.40732,0.0019406,0.0019406,0.0019406
5,419.169,1.52461,1.04008,1.33272,0.80153,0.76121,0.82574,0.39312,1.92038,1.38425,1.52856,0.0019208,0.0019208,0.0019208
6,502.242,1.49454,0.97362,1.29567,0.88342,0.90106,0.93242,0.51346,1.60319,0.97923,1.34525,0.001901,0.001901,0.001901
7,585.62,1.47374,0.92347,1.28809,0.82099,0.77445,0.86152,0.42174,1.82127,1.18529,1.41639,0.0018812,0.0018812,0.0018812
8,670.226,1.45641,0.86922,1.27183,0.8875,0.91588,0.95612,0.53234,1.55393,0.85721,1.32021,0.0018614,0.0018614,0.0018614
9,753.426,1.45318,0.87261,1.27195,0.90005,0.9266,0.95835,0.54641,1.54533,0.84537,1.3043,0.0018416,0.0018416,0.0018416
10,836.021,1.43354,0.82307,1.25163,0.89944,0.92744,0.95851,0.52275,1.53161,0.86694,1.32814,0.0018218,0.0018218,0.0018218
11,921.106,1.41411,0.80227,1.24509,0.88543,0.92216,0.95167,0.54703,1.56724,0.8161,1.32066,0.001802,0.001802,0.001802
12,1007.16,1.42357,0.80176,1.25994,0.91961,0.92348,0.96423,0.53626,1.55845,0.77405,1.28741,0.0017822,0.0017822,0.0017822
13,1093.91,1.37174,0.77958,1.22943,0.90499,0.90481,0.95607,0.51997,1.60565,0.82614,1.30173,0.0017624,0.0017624,0.0017624
14,1179.21,1.36669,0.76788,1.21685,0.91358,0.93446,0.9732,0.5436,1.55239,0.79381,1.29346,0.0017426,0.0017426,0.0017426
15,1264.44,1.37995,0.76321,1.23155,0.89975,0.93545,0.96714,0.54557,1.51045,0.76557,1.27037,0.0017228,0.0017228,0.0017228
16,1349.74,1.37608,0.75275,1.22043,0.92761,0.91161,0.96096,0.51636,1.61211,0.77616,1.31188,0.001703,0.001703,0.001703
17,1434.71,1.33924,0.74118,1.20768,0.91159,0.93862,0.96796,0.54169,1.50829,0.73899,1.26385,0.0016832,0.0016832,0.0016832
18,1520.91,1.3588,0.7435,1.22403,0.8981,0.88918,0.95347,0.54305,1.52739,0.83615,1.28665,0.0016634,0.0016634,0.0016634
19,1606.67,1.36133,0.73694,1.21793,0.92384,0.9442,0.96412,0.50862,1.65162,0.81525,1.32339,0.0016436,0.0016436,0.0016436
20,1692.93,1.34933,0.72862,1.21815,0.92863,0.92688,0.97371,0.56456,1.46369,0.68985,1.23873,0.0016238,0.0016238,0.0016238
21,1779.36,1.34046,0.7207,1.21332,0.92316,0.92348,0.97725,0.5734,1.46379,0.6799,1.23842,0.001604,0.001604,0.001604
22,1866.01,1.31883,0.70175,1.19482,0.92716,0.94037,0.97527,0.57729,1.43787,0.69985,1.24032,0.0015842,0.0015842,0.0015842
23,1952.1,1.34697,0.71194,1.21468,0.92784,0.95383,0.97497,0.56996,1.48421,0.70726,1.25001,0.0015644,0.0015644,0.0015644
24,2038.57,1.32585,0.70404,1.20507,0.92293,0.93214,0.97589,0.57569,1.43178,0.71014,1.24323,0.0015446,0.0015446,0.0015446
25,2125.99,1.3216,0.69782,1.19722,0.90875,0.95907,0.97467,0.5634,1.48792,0.69048,1.25202,0.0015248,0.0015248,0.0015248
26,2213.32,1.30749,0.68564,1.19995,0.91758,0.93668,0.97506,0.57035,1.48331,0.68442,1.23339,0.001505,0.001505,0.001505
27,2300.22,1.31475,0.68623,1.20052,0.91073,0.95778,0.97429,0.55854,1.53046,0.69176,1.26516,0.0014852,0.0014852,0.0014852
28,2389.01,1.33915,0.69457,1.20982,0.92738,0.95515,0.97822,0.58741,1.42409,0.65372,1.22767,0.0014654,0.0014654,0.0014654
29,2482.2,1.30765,0.67261,1.18672,0.92993,0.95119,0.97969,0.59636,1.41177,0.6367,1.21439,0.0014456,0.0014456,0.0014456
30,2594.25,1.31647,0.68082,1.19555,0.90391,0.94319,0.96535,0.57073,1.46825,0.71564,1.25979,0.0014258,0.0014258,0.0014258
31,2702.74,1.29673,0.67798,1.19172,0.91402,0.95368,0.97487,0.57793,1.45348,0.66062,1.22306,0.001406,0.001406,0.001406
32,2817.13,1.2854,0.66723,1.1807,0.92231,0.93931,0.97543,0.58652,1.42213,0.66902,1.23538,0.0013862,0.0013862,0.0013862
33,2922.58,1.30738,0.67115,1.19308,0.92132,0.94231,0.97603,0.58553,1.4004,0.67766,1.22551,0.0013664,0.0013664,0.0013664
34,3028.25,1.28533,0.66085,1.18171,0.91977,0.94459,0.97667,0.58232,1.41635,0.63629,1.21326,0.0013466,0.0013466,0.0013466
35,3132.97,1.27252,0.65262,1.1822,0.92289,0.96316,0.98237,0.60109,1.37767,0.62679,1.21158,0.0013268,0.0013268,0.0013268
36,3239,1.29811,0.66709,1.19156,0.91299,0.96306,0.97698,0.58965,1.42879,0.63197,1.21862,0.001307,0.001307,0.001307
37,3339.57,1.27459,0.65359,1.18084,0.92263,0.94063,0.97179,0.5604,1.49673,0.67366,1.24125,0.0012872,0.0012872,0.0012872
38,3440.77,1.27803,0.64608,1.17987,0.91753,0.95251,0.97736,0.5973,1.36697,0.63642,1.20292,0.0012674,0.0012674,0.0012674
39,3547.19,1.27843,0.64291,1.17402,0.92902,0.93404,0.97587,0.60011,1.3952,0.63923,1.22504,0.0012476,0.0012476,0.0012476
40,3635.96,1.26709,0.63579,1.17299,0.92986,0.94195,0.9784,0.58419,1.41521,0.64799,1.21109,0.0012278,0.0012278,0.0012278
41,3721.63,1.28512,0.64932,1.18341,0.92494,0.94723,0.97726,0.6076,1.3897,0.62306,1.23325,0.001208,0.001208,0.001208
42,3809.77,1.25021,0.62415,1.16643,0.93363,0.94642,0.9785,0.57315,1.44624,0.62382,1.23553,0.0011882,0.0011882,0.0011882
43,3893.73,1.26155,0.63439,1.17482,0.91365,0.94195,0.96926,0.59157,1.41755,0.64339,1.22748,0.0011684,0.0011684,0.0011684
44,3979.01,1.24455,0.63721,1.16696,0.91938,0.94779,0.9787,0.59325,1.38099,0.63494,1.22318,0.0011486,0.0011486,0.0011486
45,4065.69,1.22912,0.62023,1.15636,0.92795,0.93931,0.97705,0.60205,1.38417,0.60106,1.21377,0.0011288,0.0011288,0.0011288
46,4154.96,1.25157,0.61848,1.1677,0.91192,0.97098,0.98035,0.58583,1.4116,0.64776,1.22481,0.001109,0.001109,0.001109
47,4241.97,1.25486,0.62236,1.17293,0.93579,0.93008,0.97527,0.60249,1.37575,0.60912,1.20785,0.0010892,0.0010892,0.0010892
48,4326.91,1.25815,0.62936,1.1705,0.92722,0.95119,0.98055,0.60485,1.37553,0.62281,1.20752,0.0010694,0.0010694,0.0010694
49,4414.58,1.24338,0.61336,1.16865,0.91624,0.9591,0.97876,0.61056,1.3468,0.60452,1.20003,0.0010496,0.0010496,0.0010496
